,BIP001271,BIP003819,BIP001998,BIP002015,BIP002010,BIP002898,BIP001266,BIP007983,BIP002983,BIP005889,BIP008645,BIP005467,BIP008920,BIP009107,BIP006806,BIP005887,BIP008013,BIP003816,BIP007269,BIP002846,BIP007495,BIP001478,BIP001479,BIP004338,BIP004394,BIP008641,BIP002861,BIP001480,BIP002201,BIP005677,BIP002459,BIP001268,BIP007493,BIP008649,BIP005601,BIP003668,BIP003217,BIP005556,BIP007666,BIP003105,BIP004395,BIP005900,BIP008822,BIP004396,BIP009106,BIP005464,BIP001877,BIP002894,BIP002899,BIP001490,BIP001591,BIP001613,BIP006524,BIP007293,BIP001874,BIP006291,BIP006546,BIP006694,BIP007931
17-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jan,10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18-Feb,16,36,8,1,5,0,13,9,0,0,3,100,0,0,0,2,0,24,0,1,4,0,0,0,0,0,5,0,6,0,6,0,3,2,0,0,1,0,0,0,0,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,0,0,0
18-Mar,13,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18-Apr,22,36,7,7,8,0,3,7,10,0,15,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
18-May,49,31,7,16,6,6,0,0,6,0,0,0,0,170,6,52,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,20,0,5,0,0,0,0,0,400,0,0,0,0,0,0
18-Jun,28,3,4,0,0,5,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,15,0,3,0,1,0,0,0,12,0,0,0,0,180,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Aug,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Sep,13,0,0,0,0,1,2,0,59,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
18-Oct,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Nov,29,151,26,23,7,5,10,15,15,3,68,57,500,50,1,10,5,12,5,1,2,0,0,205,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,8,5,0,4,0,0,0,0,0
18-Dec,22,31,28,19,11,6,20,14552,23,10,58,0,200,11,10,0,5480,13,0,0,2,1,1,456,12,0,0,0,14,0,8,5,2,23,0,17,0,20,4,2,2,1,0,1,0,0,0,1,0,0,31,0,5,0,0,0,2,0,99
19-Jan,6,0,4,5,2,0,0,0,1,0,0,0,0,150,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Feb,2,8,0,1305,0,7,40,1000,0,0,51,21,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0
19-Mar,38,187,62,60,10,4,25,3000,7,12,1329,510,12,120,1,6,0,28,1000,2,21,12,19,26,12,401,0,0,14,10,0,8,0,0,4,3,3,3,0,3,0,3,2,9,0,0,0,0,0,3,2,0,0,1,0,4,0,4,0
19-Apr,45,115,535,50,14,9,40,0,6,22,21,2888,101,7,0,11,1520,218,1,0,6,1,4,5883,1,1370,0,36,9,15,0,0,0,402,5,2,0,10,0,3,0,3,9,0,0,1000,0,0,3,4,0,0,0,1004,0,0,2,0,16361
19-May,18,70,37,324,6,7,18,20448,6,4,373,22410,312,13,0,0,3001,68,6400,0,7,10,13,20,0,10,1,2,14,0,3,16,1,0,301,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,12,0,0,1,2,0,0,5
